房源编号,小区,商圈,户型,面积,朝向,户型,装修,年代,总价,单价,标题,
105112025351,水岸名筑 ,海沧体育中心,2室1厅 ,96.41, 南 , 精装 , 高楼层(共16层) , 2008年建 ,285,29562,水岸朝南2房，高层采光很好，诚意出售，看房子方便！,
105112022800,禾祥西路182号以上 ,禾祥西路,2室1厅 ,65.09, 南 北 , 精装 , 高楼层(共7层) , 1991年建 ,380,58381,禾祥西路 沃尔玛 精装2房 南北通透 现买现住 总价低,
105111923999,吉祥家园 ,市政府,3室2厅 ,127.64, 西 , 精装 , 低楼层(共17层)  , 板楼,888,69571,一梯2户 明厨明卫 封闭小区，筼筜湖畔视野好,
105111859920,万寿花园 ,文园路,3室2厅 ,120.85, 南 西 北 , 简装 , 低楼层(共7层) , 1999年建 ,898,74307,花园小区，西南北三面采光，一梯两户南北通透，视野佳,
105111985235,海岸街 ,思北,7室2厅 ,207.13, 南 北 , 简装 , 低楼层(共3层)  , 暂无数据,1100,53107,有天有地，使用三层小别墅，故宫裕景后方，全明采光,
105112034679,金祥大厦 ,火车站,3室2厅 ,168.15, 南 北 , 精装 , 高楼层(共23层) , 1999年建 ,798,47458,万象城 高层大3房  电梯高层 业主急售 单价仅47000/平,
105112011680,裕发花园 ,SM,3室2厅 ,92.03, 南 北 , 精装 , 中楼层(共7层) , 1998年建 ,518,56286,S M旁 繁华商圈 地铁口 十佳小区 精装准电梯正规三房,
105112042481,天鹅美苑 ,集美文教区,3室1厅 ,141.09, 南 北 , 精装 , 10层 , 2009年建 ,530,37565,天鹅美苑不靠马路，电梯大三房，一梯两户视野好无遮挡,
105112021686,招商莱顿小镇 ,灌口,3室2厅 ,92.87, 南 北 , 精装 , 中楼层(共11层) , 2018年建 ,232,24982,风景湖旁洋房中楼层/三开间朝南/楼层好/采光充足,
105112036112,海投青春海岸 ,马銮湾中心片区,3室2厅 ,96.63, 南 , 精装 , 中楼层(共33层) , 2016年建 ,263,27218,海投复式楼中楼【全小区仅16套】难得有出售【退个税】,
105112033819,蓉芳里 ,莲花一村,3室2厅 ,88.21, 南 北 , 简装 , 高楼层(共7层)  , 板楼,523,59291,南北通透，全明户型，采光充足，交通便利。,
105111921436,万科金域蓝湾二期 ,瑞景,4室2厅 ,133.98, 南 北 , 精装 , 中楼层(共31层) , 2010年建 ,988,73743,万科金域蓝湾 南北通透  看中庭 采光好,
105111877815,百源双玺 ,火车站,3室2厅 ,98.53, 北 南 , 简装 , 中楼层(共30层) , 2008年建 ,658,66782,火车站 双地铁口 沿线BRT 08年小区 价格优惠,
105111996192,莲花新城三期 ,集美新城,3室2厅 ,89.23, 南 , 精装 , 低楼层(共33层) , 2017年建 ,358,40122,莲花新城三期，看湖景，安静，自住装修。,
105111961530,海峡国际社区二期 ,会展中心,2室2厅 ,92.89, 西南 , 精装 , 高楼层(共24层) , 2009年建 ,930,100119,海峡国际社区二期、2居室设计、明厨明卫、动静分离,
105112034034,吕岭花园 ,金尚,2室1厅 ,73.22, 南 北 , 简装 , 高楼层(共7层) , 1996年建 ,326,44524,吕岭花园正规二房 小区中庭  户型好 采光好通风好,
105111987551,前埔南小区一区 ,前埔,3室1厅 ,85.98, 南 北 , 简装 , 低楼层(共7层) , 1999年建 ,406,47221,19年刚装修，满五年，拎包入住，看房随时,
105112006154,福华苑 ,锦园,2室2厅 ,98.42, 南 , 精装 , 低楼层(共28层) , 2017年建 ,183,18594,福华苑精装两      房换房急售！,
105112037952,金鸡亭小区西区 ,金鸡亭,2室2厅 ,76.2, 南 北 , 简装 , 中楼层(共8层) , 1997年建 ,339,44489,此房一梯二户，南北通透，框架结构。,
105111964338,新景国际外滩 ,五缘湾,4室2厅 ,93.55, 南 , 精装 , 中楼层(共8层) , 2014年建 ,1100,117585,新景外滩  精装4房3卫  朝南   小区中庭位置,
105111948610,新景国际外滩 ,五缘湾,5室2厅 ,100.63, 南 北 , 精装 , 高楼层(共8层) , 2014年建 ,1250,124218,业主精心设计  全新未入住  朝南4加1房 带大露台,
105111987125,国贸广场 ,禾祥西路,3室2厅 ,122.34, 西南 , 精装 , 高楼层(共21层) , 2000年建 ,918,75037,文灶地铁 花园小区 电梯高层精装3房,
105111865885,海上五月花五期 ,集美其它,3室2厅 ,92.4, 东南 , 简装 , 33层 , 2015年建 ,315,34091,集美桥头堡，东部新城，保利海上五月花，朝南三房看海,
105111923784,联发杏林湾一号二期 ,杏林桥头,3室2厅 ,131.33, 东南 , 简装 , 中楼层(共30层) , 2016年建 ,439,33428,联发品质动静分离大三房，双阳台适合居家,
105111841143,阳光城翡丽湾一期 ,翔安新城,3室1厅 ,122.89, 南 北 , 毛坯 , 33层 , 2014年建 ,315,25633,业主诚意出售 产权证满两年 南北通透,
105111864359,翔城国际北区 ,翔安新城,3室1厅 ,89.85, 南 , 精装 , 中楼层(共11层)  , 板楼,289,32165,翔安闽蓝广场边 翔城国际北区 客厅朝北三房,
105111862855,天籁 ,海沧生活区,3室2厅 ,127.49, 南 北 , 精装 , 中楼层(共23层) , 2008年建 ,399,31297,地铁口，电梯高层，朝南户型，住家装修 诚意出售卖,
105111954728,禹洲中央海岸一期 ,杏林桥头,3室2厅 ,93.48, 南 , 精装 , 高楼层(共30层) , 2015年建 ,325,34767,高楼层正对景观看海景，视野开阔采光充足免个税,
105111976291,宁宝社区 ,杏东,3室2厅 ,81.36, 南 北 , 精装 , 低楼层(共6层)  , 板楼,251.2,30876,精装带大露台，三室两厅两卫，实用130平，三面通透,
105111970186,佳和楼 ,同安其它,3室2厅 ,124.48, 南 北 , 简装 , 中楼层(共8层)  , 板楼,139.8,11231,城东2000年大三房 南北通透 双卫双阳台,
